"character";"dialogue"
"YODA";"And well, you shouldn't. For my ally in the Force. And a powerful ally it is. Life creates it, makes it grow. Its energy surrounds us and connects us. Luminous beings are us... .. .not this raw matter. You must feel the Force around you. Here, between you... me... the tree... the rock... everywhere! Yes, even between this land and that ship !"
"LUKE";"You want the impossible."
"LUKE";"I don't...I don't believe it."
"YODA";"That's why you fail."
"VADER";"Apologies accepted, Captain Needa."
"PIETT";"Lord Vader, our ships have completed scanning the area and found nothing. If the Millennium Falcon has entered the speed of light, it will already be on the other side of the galaxy."
"VADER";"Alert all commands. Calculate all possible destinations along your last known trajectory."
"PIETT";"Yes, my lord. We will find them."
"VADER";"Don't fail me again, Admiral."
"PIETT";"Alert all commands. Deploy the fleet."
"THREEEPIO";"Captain Solo, this time you've gone too far. No, I won't be quiet, Chewbacca. Why doesn't anyone listen to me?"
"HAN";"The fleet is starting to disintegrate. Go back and wait for manual landing grapple release."
"THREEEPIO";"I really don't see how this will help. Surrender is a perfectly acceptable alternative in extreme circumstances. The Empire might be kind enough..."
"HAN";"Thank you."
"READ";"What do you have in mind for your next move?"
"HAN";"Well, if they follow standard Empire procedure, they'll dump the garbage before going to light speed, so we just float away."
"READ";"With the rest of the garbage. And then?"
"HAN";"Then we have to find a safe haven somewhere around here. Do you have any ideas?"
"READ";"No. Where are we?"
"HAN";"The Anoat system."
"READ";"Anoat System. There's not much there."
"HAN";"No. Well wait. This is interesting. Lando."
"READ";"Lando System?"
"HAN";"Lando is not a system, he is a man. Lando Calrissian. He is a card player, gambler, scoundrel. You would like him."
"READ";"Thank you."
"HAN";"Bespin. It's too far, but I think we can do it."
"READ";"A mining colony?"
"HAN";"Yes, a Tibanna gas mine. Lanot deceived anyone. We've come a long way, Lando and I."
"READ";"Can you trust him?"
"HAN";"No. But he has no love for the Empire, I can tell you that."
"HAN";"Here we go, Chewie. Wait. Let go!"
"READ";"You have your moments. Not many, but you do."
"YODA";"Focus... feel the flow of the Force. Yes. Good. Calm, yes. Through the Force, things you will see. Other places. The future... the past. Old friends are gone. "
"LUKE";"Han! Read!"
"YODA";"Hmm. Control, control. You must learn to control."
"LUKE";"I saw... I saw a city in the clouds."
"YODA";"Mmm. Friends you have there."
"LUKE";"They were in pain."
"YODA";"It's the future you see."
"LUKE";"Future? Will they die?"
"YODA";"Difficult to see. Always in motion is the future."
"LUKE";"I have to go to them."
"YODA";"Decide how you should best serve them. If you leave now, help them as you could. But you would destroy everything they fought and suffered for."
"HAN";"No, I don't have a landing clearance. I'm trying to reach Lando Calrissian."
"HAN";"Wow! Wait a minute! Let me explain."
"INTERCOM VOICE";"You will not deviate from your current course."
"THREEEPIO";"Pretty delicate, aren't they?"
"READ";"I thought you knew this person."
"HAN";"Well, that was a long time ago. I'm sure he forgot about that."
"INTERCOM VOICE";"Permission granted to land on Platform Three-Two-Seven."
"HAN";"Thank you."
"HAN";"There's nothing to worry about. We're back, Lando and I."
"READ";"Who's worried?"
"THREEEPIO";"Ah. No one to find us."
"READ";"I don't like it."
"HAN";"Well, what would you like?"
"THREEEPIO";"Well, they let us land."
"HAN";"Look, don't worry. Everything will be fine. Trust me."
"HAN";"See? My friend. Keep your eyes open, ok?"
"LANDO";"Why, you slimy, traitorous, useless crook! You have a lot of courage coming here after what you pulled."
"LANDO";"How are you, you old pirate? Good to see you! Never thought I'd meet you again. Where have you been?"
"THREEEPIO";"Well, he seems very friendly."
"READ";"Yes...very nice."
"LANDO";"What are you doing here?"
"HAN";"Ahh... repairs. I thought you could help me."
"LANDO";"What did you do with my ship?"
"HAN";"Your ship? Hey, remember, you lost it to me fairly."
"LANDO";"Hello. What do we have here? Welcome. I'm Lando Calrissian. I'm the administrator of this facility. And who can you be?"
"READ";"Read."
"LANDO";"Welcome, Leia."
"HAN";"Alright, alright, you old smoothie."
"THREEPIO";"Hello sir. I'm See-Threepio, Human-Cyborg Relations. My facility is in your..."
"THREEEPIO";"Well, really!"
"LANDO";"What's wrong with Falcon?"
"HAN";"Hyperdrive."
"LANDO";"I'll make my people work on it."
"HAN";"Good."
"LANDO";"You know, that ship saved my life a few times. It's the fastest piece of junk in the galaxy."
"HAN";"How is the gas mine? Is it worth it to you?"
"LANDO";"Oh, not as well as I'd like. We're a small outpost and not very self-sufficient. And I've had supply problems of all kinds. I've had labor difficulties... What's so funny?"
"HAN";"You. Listen to you - you seem like a businessman, a responsible leader. Who would have thought that, huh?"
"LANDO";"You know, seeing you sure brings some things back."
"HAN";"Yes."
"LANDO";"Yes, I am responsible these days. It's the price you pay for success."
"THREEEPIO";"Ah! It's nice to see a familiar face."
"SECOND THREE EPIOS";"And chu ta!"
"THREEEPIO";"How rude!"
"THREEEPIO";"That sounds like an R2 unit over there. Could it be..."
"THREEEPIO";"Hello? How interesting. Oh, my."
"MAN";"Who are you?"
"THREEEPIO";"Oh, I'm sorry. I... I didn't mean to intrude. No, no, please don't get up. No!"
"YODA";"Luke! You must complete the training."
"LUKE";"I can't get the vision out of my head. They're my friends. I have to help them."
"YODA";"You must not go!"
"LUKE";"But Han and Leia will die if I don't."
"BEN";"You don't know that."
"BEN";"Even Yoda can't see their fate."
"LUKE";"But I can help you! I feel the Force!"
"BEN";"But you cannot control it. This is a dangerous time for you, when you will be tempted by the dark side of the Force."
"YODA";"Yes, yes. For Obi-Wan you hear. The cave. Remember your failure in the cave!"
"LUKE";"But I've learned a lot since then. Master Yoda, I promise to come back and finish what I started. You have my word."
"BEN";"It's you and your skills that the Emperor wants. That's why your friends are made to suffer."
"LUKE";"And that's why I have to go."
"BEN";"Luke, I don't want to lose you to the Emperor the way I lost Vader."
"LUKE";"You won't."
"YODA";"They must be standing still. That depends. Only a fully trained Jedi Knight with the Force as his ally will conquer Vader and his Emperor. If you finish your training now, if you choose the fast and Easy, as Vader did, you will become an agent of evil."
"BEN";"Patience."
"LUKE";"And sacrifice Han and Leia?"
"YODA";"If you honor what they fight for...yes!"
"BEN";"If you choose to face Vader, you will do it alone. I cannot interfere."
"LUKE";"I see. Artoo, turn on the converters."
"BEN";"Luke, don't give in to hate - it leads to the dark side."
"YODA";"Strong is Vader. Be careful what you learn. Save you may."
"LUKE";"I will. And I will come back. I promise."
"YODA";"I told you, I told you. He's reckless. Now things are worse."
"BEN";"This boy is our last hope."
"YODA";"No. There is another one."
"HAN";"The ship is almost ready. Two or three more things and we're in great shape."
"READ";"The sooner the better. Something is wrong here. No one has seen or knows anything about Threepio. He's gone too long to get lost."
"HAN";"Relax. I'll talk to Lando and see what I can find out."
"READ";"I don't trust Lando."
"HAN";"Well, I don't trust him either. But he's my friend. Besides, we'll be leaving soon."
"READ";"And so you're gone, aren't you?"
"READ";"What happened?"
"HAN";"Where? Did you find it in a pile of garbage?"
"READ";"Oh, what a mess. Chewie, do you think you can fix it?"
"HAN";"Lando has people who can fix it."
"READ";"No, thanks."
"LANDO";"Sorry. Am I interrupting something?"
"READ";"Not really."
"LANDO";"You look absolutely beautiful. You really belong here with us among the clouds."
"READ";"Thank you."
"LANDO";"Can you join me for refreshment?"
"LANDO";"All are invited, of course."
"LANDO";"Having trouble with your droid?"
"HAN";"No. No problem. Why?"
"LANDO";"So you see, since we're a small operation, we don't fall under the... uh... jurisdiction of the Empire."
"READ";"So you're part of the mining guild?"
"LANDO";"No, not really. Our operation is small enough to go unnoticed... which is to everyone's advantage as our customers are eager to avoid drawing attention to themselves."
"HAN";"Aren't you afraid the Empire will find out about this little operation and shut it down?"
"LANDO";"This has always been a danger hanging like a shadow over everything we've built here. But things have evolved to ensure safety. I just made a deal that will keep the Empire out of here forever."
"VADER";"We would be honored if you would join us."
"LANDO";"I had no choice. They arrived long before you. I'm sorry."
"HAN";"I'm sorry too."
"LUKE";"No, Threepio has them."
"LUKE";"Hold on. We're almost there."
"THREEEPIO";"Mmmm. Oh, my. Uh, I, uh -- Take it off! I, uh, don't want to intrude here. I, no, no, no, no... Please don't get up . No!"
"THREEEPIO";"Stormtroopers? Here? We're in danger. I must tell the others. Oh, no! I've been shot!"
"LANDO";"Lord Vader."
"VADER";"You can take Captain Solo to Jabba the Hut after I have Skywalker."
"BOBA FETT";"He's no good for me dead."
"VADER";"He will not take permanent damage."
"LANDO";"Lord Vader, and Leia and the Wookiee?"
"VADER";"They must never leave this city again."
"LANDO";"That was never a condition of our agreement, nor giving Han to that bounty hunter!"
"VADER";"Perhaps you think you are being treated unfairly."
"LANDO";"No."
"VADER";"Good. It would be unfortunate if I had to leave a garrison here."
"LANDO";"This business is getting worse and worse."
"THREEEPIO";"Oh yeah, that's really good. I like it. Oh! Something's not right 'cause now I can't see. Wait. Wait! Oh my! what did you do? I'm behind you ball stupid hairstyling. Only a thickhead like you would be stupid enough..."
"HAN";"I feel terrible."
"READ";"Why are they doing this?"
"HAN";"They never asked me any questions."
"READ";"Lando."
"HAN";"Get out of here, Lando!"
"LANDO";"Shut up and listen! Vader has agreed to hand Leia and Chewie over to me."
"HAN";"For you?"
"LANDO";"They'll have to stay here, but at least they'll be safe."
"READ";"What about Han?"
"LANDO";"Vader is giving it to the bounty hunter."
"READ";"Vader wants us all dead."
"LANDO";"He doesn't want you at all. He's after someone named Skywalker."
"HAN";"Luke?"
"LANDO";"Lord Vader has set a trap for him."
"READ";"And we are the bait."
"LANDO";"Well, he's on his way."
"HAN";"Perfect. You fixed us all very well, didn't you? My friend!"
"LANDO";"Stop! I've done all I can do. I'm sorry I didn't do better, but I have my own problems."
"HAN";"Yes, you are a true hero."
"READ";"You certainly have a way with people."
"VADER";"This facility is rudimentary, but should be adequate to freeze Skywalker on his journey to the Emperor."
"IMPERIAL SOLDIER";"Lord Vader, ship approaching. X-wing class."
"VADER";"Good. Monitor Skywalker and allow him to land."
"LANDO";"Lord Vader, we only use this facility for carbon freezing.kill him."
"VADER";"I don't want the Emperor's prize to be damaged. Let's test it... on Captain Solo."
"THREEEPIO";"If you had attached my legs, I wouldn't be in this ridiculous position. Now remember, Chewbacca, you have a responsibility to me, so don't do anything foolish."
"HAN";"What's going on... friend?"
"LANDO";"You are being put into carbon freeze."
"BOBA FETT";"What if he doesn't survive? He's worth a lot to me."
"VADER";"The Empire will compensate him if he dies. Put him here!"
"THREEEPIO";"Oh, no! No, no, no! Stop, Chewbacca, stop...!"
"HAN";"Stop, Chewie, stop! Can you hear me? Stop!"
"THREEEPIO";"Yes, please stop! I'm not ready to die."
"HAN";"Chewie! Chewie, this won't help me. Hey!"
"HAN";"Save your strength. There will be another time. The princess - you have to take care of her. Did you hear me?"
"READ";"I love you!"
"HAN";"I know."
"THREEEPIO";"What... what's going on? Turn around, Chewbacca, I can't see. Oh... they've wrapped him in carbonite. He should be well protected - if he survives the freezing process, that is. ."
"VADER";"Well, Calrissian, did he survive?"
"LANDO";"Yes, he's alive. And in perfect hibernation."
"VADER";"He's all your bounty hunter. Reset the chamber to Skywalker."
"IMPERIAL OFFICER";"Skywalker has just landed, my lord."
"VADER";"Good. Have him find his way here. Calrissian, take the princess and the Wookiee to my ship."
"LANDO";"You said they would be left in the city under my supervision."
"VADER";"I am amending the agreement. Please do not amend further."
"READ";"Luke! Luke, no -- it's a trap! It's a trap!"
"VADER";"The Force is with you, young Skywalker. But you are not yet a Jedi."
"LANDO";"Very well. Hold them in the security tower - and be quiet. Move."
"READ";"What do you think you're doing?"
"LANDO";"Let's get out of here."
"THREEEPIO";"I knew all along that it had to be a mistake."
"READ";"Do you think after what you did to Han we will trust you?"
"LANDO";"I had no choice..."
"THREEEPIO";"What are you doing? Trust him, trust him!"
"READ";"Ah, so we get it, don't we, Chewie? He didn't have a choice."
"LANDO";"I'm just trying to help..."
"READ";"We don't need your help."
"LANDO";"Haaa..."
"READ";"What?"
"THREEEPIO";"Looks like Han."
"LANDO";"There's still a chance to save Han... I mean, on the East Platform..."
"READ";"Chewie."
"THREEEPIO";"I'm sorry about all this. After all, he's just a Wookiee."
"BOBA FETT";"Put Solo Captain in the cargo hold."
"THREEEPIO";"Artoo! Artoo! Where have you been?"
"THREEEPIO";"Turn around, you furry...! Hurry, hurry! We're trying to save Han from the bounty hunter!"
"THREEEPIO";"Well, at least you're still in one piece! Look what happened to me!"
"THREEEPIO";"Oh no! Chewie, they're after you!"
"VADER";"You learned a lot, young man."
"LUKE";"You'll find I'm full of surprises."
"VADER";"Your fate is with me, Skywalker. Obi-Wan knew this to be true."
"LUKE";"No!"
"VADER";"Too easy. Perhaps you are not as strong as the Emperor thought."
"VADER";"Impressive... more impressive."
"VADER";"Obi-Wan taught you well. You've mastered your fear... now release your anger."
"VADER";"Only your hate can destroy me."
"LANDO";"Security codes have been changed!"
"THREEEPIO";"Artoo, you can tell the computer to replace the security system."
"LANDO";"Attention! This is Lando Calrissian. The Empire has taken control of the city. I advise everyone to leave before more Imperial troops arrive."
"LANDO";"This way."
"THREEEPIO";"Don't blame me. I'm an interpreter. I shouldn't be able to tell an outlet from a computer terminal."
"THREEEPIO";"What are you talking about? We're not interested in the Millennium Falcon hyperdrive. It's fixed! Just open the door, you idiot."
"THREEEPIO";"I never doubted you for a second. Wonderful!"
"THREEEPIO";"Ouch! Oh! Ah! That hurt, Get down, you thoughtless... Ouch!"
"LANDO";"Read! Go!"
"THREEEPIO";"I thought that furry beast would be the end of me. Of course, I look better."
"VADER";"You're defeated. It's useless to resist. Don't let yourself be destroyed like Obi-Wan did."
"VADER";"There is no escape. Don't make me destroy you. You still haven't realized your importance. You've only just begun to discover your power. Join me and I will complete your training. With our combined strength, we can end this destructive conflict and bring order to the galaxy."
"LUKE";"I will never join you!"
"VADER";"If you only knew the power of the dark side. Obi-Wan never told you what happened to your father."
"LUKE";"He told me enough! He told me you killed him."
"VADER";"No. I'm your father."
"LUKE";"No. No. That's not true! That's impossible!"
"VADER";"Look for your feelings. You know it's true."
"LUKE";"No! No! No!"
"VADER";"Luke. You can destroy the Emperor. He foresaw it. It is your destiny. Join me, and we can rule the galaxy as father and son. Come with me. It's the only way."
"LUKE";"Ben...Ben, please!"
"LUKE";"Ben. Leia!"
"LUKE";"Listen to me! Read!"
"READ";"Luke... We have to go back."
"LANDO";"What?"
"READ";"I know where Luke is."
"LANDO";"But what about those fighters?"
"READ";"Chewie, just do it."
"LANDO";"But what about Vader?"
"LANDO";"Alright, alright, alright."
"VADER";"Bring my space shuttle."
"LANDO";"Look, there's someone up there."
"READ";"It's Luke. Chewie, slow down. Slow down and we'll go under him. Lando, open the upper hatch."
"READ";"Okay. Calm down, Chewie."
"READ";"Lando?"
"LANDO";"Okay, let's go."
"LUKE";"Oh, Leia."
"LANDO";"All right, Chewie. Let's go."
"READ";"I'll be right back."
"READ";"Star Destroyer."
"LANDO";"All right, Chewie. Ready for the speed of light."
"READ";"If your people fixed the hyperdrive."
"READ";"All coordinates are set. It's now or never."
"LANDO";"Punch!"
"LANDO";"They told me they fixed it. I trusted them to fix it. It's not my fault!"
"PIETT";"They will be within range of our tractor beam in a moment, sir."
"VADER";"Did your men disable the hyperdrive on the Millennium Falcon?"
"PIETT";"Yes, my lord."
"VADER";"Good. Prepare the boarding party and prepare your weapons to stun."
"PIETT";"Yes, my lord."
"THREEEPIO";"Noisy brute. Why don't we enter at the speed of light?"
"THREEEPIO";"Can't we? How do you know the hyperdrive is disabled?"
"THREEEPIO";"Did the city's main computer tell you? Artoo-Detoo, you know you shouldn't trust a strange computer. Ouch! Pay attention to what you're doing!"
"VADER";"Luke."
"LUKE";"Dad."
"VADER";"Son, come with me."
"LUKE";"Ben, why didn't you tell me?"
"LANDO";"Chewie!"
"LUKE";"It's Vader."
"VADER";"Luke... is your destiny."
"LUKE";"Ben, why didn't you tell me?"
"PIETT";"Alert all commands. Ready for tractor beam."
"THREEEPIO";"Artoo, come right back! You're not done with me yet! You don't know how to fix the hyperdrive. Chewbacca can do it. I'm here in pieces, and so are you."
"THREEEPIO";"Oh, you did it!"
"LANDO";"Luke, we're ready to take off."
"LUKE";"Good luck, Lando"
"LANDO";"When we find Jabba the Hut and that bounty hunter, we'll contact you."
"LUKE";"I'll meet you at the meeting point on Tatooine."
"LANDO";"Princess, let's find Han. I promise."
"LUKE"; "Chewie, I'll be waiting for his signal."
"LUKE";"Take care, you two. May the Force be with you."
"LUKE";"Ouch!"
