"personagem";"diálogo"
"TROOPER";"Estes não são os droides que estamos procurando."
"BEN";"Ele pode cuidar de seus negócios."
"TROOPER";"Você pode cuidar de seus negócios."
"BEN";"Siga em frente."
"TROOPER";"Siga em frente. Siga em frente."
"THREEPIO";"Eu não suporto esses Jawas. Criaturas nojentas."
"LUKE";"Continue, continue. Não consigo entender como passamos por aqueles soldados. Achei que estávamos mortos."
"BEN";"A Força pode ter uma forte influência sobre os fracos de mente. Você a achará um poderoso aliado."
"LUKE";"Você realmente acha que vamos encontrar um piloto aqui que nos levará a Alderaan?"
"BEN";"Bem, a maioria dos melhores pilotos de cargueiros podem ser encontrados aqui. Apenas tome cuidado. Este lugar pode ser um pouco difícil."
"LUKE";"Estou pronto para qualquer coisa."
"THREEPIO";"Venha, Artoo."
"BARMAN";"Nós não servimos o tipo deles aqui!"
"LUKE";"O quê?"
"BARMAN";"Seus droides. Eles vão ter que esperar lá fora. Não os queremos aqui."
"LUKE";"Ouça, por que você não espera perto do speeder. Não queremos problemas."
"THREEPIO";"Concordo plenamente com o senhor."
"CRIATURA";"Negola dewaghi lenhador?!?"
"HUMANO";"Ele não gosta de você."
"LUKE";"Sinto muito."
"HUMANO";"Eu também não gosto de você"
"HUMANO";"Não nos insulte. Apenas observe a si mesmo. Somos homens procurados. Tenho a sentença de morte em doze sistemas."
"LUKE";"Terei cuidado do que."
"HUMANO";"Você estará morto."
"BEN";"Este pequeno não vale o esforço. Venha, deixe-me comprar algo para você..."
"BARMAN";"Sem detonadores! Sem detonadores!"
"BEN";"Este é Chewbacca. Ele é imediato em um navio que pode atender às nossas necessidades."
"THREEPIO";"Eu não gosto da aparência disso."
"HAN";"Han Solo. Sou o capitão da Millennium Falcon. Chewie aqui me disse que você está procurando uma passagem para o sistema Alderaan."
"BEN";"Sim, de fato. Se for um navio rápido."
"HAN";"Nave rápida? Você nunca ouviu falar da Millennium Falcon?"
"BEN";"Devia ter?"
"HAN";"É a nave que fez o Kessel correr em menos de doze parsecs!"
"HAN";"Eu ultrapassei as naves imperiais, não os cruzadores locais, veja bem. Estou falando das grandes naves Corellianas agora. Ela é rápida o suficiente para você, velho. Qual é a carga?"
"BEN";"Somente passageiros. Eu, o garoto, dois droides, e nenhuma pergunta."
"HAN";"O que é? Algum tipo de problema local?"
"BEN";"Vamos apenas dizer que gostaríamos de evitar qualquer envolvimento imperial."
"HAN";"Bem, esse é o verdadeiro truque, não é? E vai te custar algo extra. Dez mil adiantados."
"LUKE";"Dez mil? Quase poderíamos comprar nosso próprio navio por isso!"
"HAN";"Mas quem vai pilotar, garoto! Você?"
"LUKE";"Pode apostar que eu poderia. Eu não sou um piloto tão ruim assim! Nós não temos que sentar aqui e ouvir..."
"BEN";"Não temos muito conosco. Mas podemos pagar-lhe dois mil agora, mais quinze quando chegarmos a Alderaan."
"HAN";"Dezessete, hein!"
"HAN";"Ok. Vocês conseguiram um navio. Partiremos assim que estiverem prontos. Doca 94."
"BEN";"Noventa e quatro."
"HAN";"Parece que alguém está começando a se interessar pelo seu trabalho."
"TROOPER";"Tudo bem, vamos verificar."
"HAN";"Dezessete mil! Esses caras devem estar realmente desesperados. Isso pode realmente salvar meu pescoço. Volte para a nave e prepare-a."
"BEN";"Você vai ter que vender seu speeder."
"LUKE";"Tudo bem. Eu nunca vou voltar para este planeta novamente."
"GREEDO";"Indo para algum lugar, Solo?"
"HAN";"Sim, Greedo. Na verdade, eu estava indo ver seu chefe. Diga a Jabba que eu tenho o dinheiro dele."
"GREEDO";"É tarde demais. Você deveria ter pago a ele quando teve a chance. Jabba colocou um preço por sua cabeça, tão grande que todos os caçadores de recompensas na galáxia estarão procurando por você. encontrei você primeiro."
"HAN";"Sim, mas desta vez eu consegui o dinheiro."
"GREEDO";"Se você me der, posso esquecer que encontrei você."
"HAN";"Eu não tenho isso comigo. Diga a Jabba..."
"GREEDO";"Jabba acabou com você. Ele não tem tempo para contrabandistas que deixam seus carregamentos ao primeiro sinal de um cruzador imperial."
"HAN";"Até eu sou abordado às vezes. Você acha que eu tive escolha?"
"GREEDO";"Você pode dizer isso para Jabba. Ele só pode levar seu navio."
"HAN";"Sobre meu cadáver."
"GREEDO";"Essa é a ideia que eu estava ansioso para matar você por um longo tempo."
"HAN";"Sim, aposto que sim."
"HAN";"Desculpe pela bagunça."
"VADER";"Sua resistência à sonda mental é considerável. Levará algum tempo até que possamos extrair qualquer informação dela."
"OFICIAL IMPERIAL";"O check-out final está completo. Todos os sistemas estão operacionais. Que rumo devemos definir?"
"TARKIN";"Talvez ela respondesse a uma forma alternativa de persuasão."
"VADER";"O que você quer dizer?"
"TARKIN";"Acho que é hora de demonstrarmos todo o poder desta estação. Defina seu curso para o planeta natal da Princesa Leia, Alderaan."
"TROOPER";"Com prazer."
"THREEPIO";"Tranque a porta, Artoo."
"TROOPER";"Tudo bem, verifique esse lado da rua. É seguro. Vá para a próxima porta."
"THREEPIO";"Eu preferia ter ido com Mestre Luke do que ficar aqui com você. Não sei do que se trata todo esse problema, mas tenho certeza que deve ser sua culpa."
"THREEPIO";"Cuidado com sua linguagem!"
"LUKE";"Ele diz que é o melhor que pode fazer. Desde que o XP-38 saiu, eles "
"BEN";"Será suficiente."
"BEN";"Se o navio for tão rápido quanto ele está se gabando, devemos nos sair bem."
"JABBA";"Venha, Solo!"
"HAN";"Eu estive esperando por você, Jabba."
"JABBA";"Eu esperava que você fosse."
"HAN";"Eu não sou do tipo que corre."
"JABBA";"Han, meu rapaz, há momentos em que você me decepciona... por que você não me pagou? E por que você teve que fritar o pobre Greedo assim... depois de tudo que passamos através juntos."
"HAN";"Você enviou Greedo para me explodir."
"JABBA";"Han, por que você é o melhor contrabandista no negócio. Você é muito valioso para fritar. Ele estava apenas transmitindo minha preocupação com seus atrasos. Ele não iria explodir você."
"HAN";"Eu acho que ele pensou que sim. Da próxima vez não mande um desses idiotas. Se você tem algo a me dizer, venha me ver você mesmo."
"JABBA";"Han, Han! Se ao menos você não tivesse que despejar aquele carregamento de especiarias... você entende que eu não posso abrir uma exceção. sua remessa ao primeiro sinal de uma nave imperial? Não é um bom negócio.
"
"HAN";"Você sabe, até eu sou embarcado às vezes, Jabba. Eu não tive escolha, mas eu tenho uma carta agora e eu posso te pagar de volta, mais um pouco mais. Eu só preciso de mais algum tempo."
"JABBA";"Guarde seus blasters. Han, meu rapaz, eu só estou fazendo isso porque você é o melhor e eu preciso de você. Então, por um extra, digamos... vinte por cento eu dou você um pouco mais de tempo... mas é isso, se você me decepcionar de novo, eu colocarei um preço tão alto por sua cabeça que você não será capaz de se aproximar de um sistema civilizado pelo resto de sua curta vida. "
"HAN";"Jabba, eu vou te pagar porque é um prazer."
"LUKE";"Que lixo."
"HAN";"Ela vai fazer ponto cinco além da velocidade da luz. Ela pode não parecer muito, mas ela está onde é importante, garoto. Eu mesmo adicionei algumas modificações especiais."
"HAN";"Estamos um pouco apressados, então se você se apressar a bordo, sairemos daqui."
"THREEPIO";"Olá, senhor."
"SOLDADO";"Para que lado?"
"SOLDADO";"Tudo bem, homens. Carreguem suas armas!"
"SOLDADO";"Pare esse navio!"
"SOLDADO";"Acabe com eles!"
"HAN";"Chewie, tire-nos daqui!"
"THREEPIO";"Oh, que coisa. Eu tinha esquecido o quanto eu odeio viagens espaciais."
"HAN";"Parece um cruzador imperial. Nossos passageiros devem estar mais quentes do que eu pensava. Tente segurá-los. Incline o escudo defletor enquanto faço os cálculos para o salto para a velocidade da luz."
"HAN";"Fique atento! Há mais dois chegando; eles vão tentar nos cortar."
"LUKE";"Por que você não os supera? Achei que você disse que essa coisa era rápida."
"HAN";"Cuidado com a boca, garoto, ou você vai encontrar-se flutuando para casa. Estaremos seguros o suficiente quando fizermos o salto para o hiperespaço. Além disso, eu conheço algumas manobras. Perderemos eles!"
"HAN";"Aqui é onde a diversão começa!"
"BEN";"Quanto tempo antes que você possa fazer o salto para a velocidade da luz?"
"HAN";"Vai levar alguns instantes para obter as coordenadas do computador de navegação."
"LUKE";"Você está brincando? No ritmo que eles estão ganhando..."
"HAN";"Viajar pelo hiperespaço não é como limpar plantações, garoto! Sem cálculos precisos, poderíamos voar direto através de uma estrela ou saltar muito perto de uma supernova e isso terminaria sua viagem bem rápido, não é? ?"
"LUKE";"O que é isso piscando?"
"HAN";"Estamos perdendo nosso escudo defletor. Vá se amarrar, vou pular para a velocidade da luz."
"MOTTI";"Entramos no sistema Alderaan."
"LEIA";"Governador Tarkin, eu deveria ter esperado encontrá-lo segurando a coleira de Vader. Reconheci seu mau cheiro quando fui trazido a bordo."
"TARKIN";"Encantador até o fim. Você não sabe o quanto eu achei difícil assinar a ordem para acabar com sua vida!"
"LEIA";"assumir a responsabilidade você mesmo!"
"TARKIN";"Princesa Leia, antes de sua execução eu gostaria que você fosse minha convidada em uma cerimônia que tornará esta estação de batalha operacional. Nenhum sistema estelar ousará se opor ao Imperador agora."
"LEIA";"Quanto mais você apertar seu aperto, Tarkin, mais sistemas estelares escaparão por entre seus dedos."
"TARKIN";"Não depois de demonstrarmos o poder desta estação. De certa forma, você determinou a escolha do planeta que será destruído primeiro. Já que você está relutante em nos fornecer a localização da base Rebelde , eu escolhi testar o poder destrutivo desta estação... em seu planeta natal de Alderaan."
"LEIA";"Não! Alderaan é pacífica. Não temos armas. Você não pode..."
"TARKIN";"Você prefere outro alvo? Um alvo militar? Então nomeie o sistema!"
"TARKIN";"Estou cansado de perguntar isso. Então será a última vez. Onde fica a base Rebelde?"
"LEIA";"Dantooine."
"LEIA";"Eles estão em Dantooine."
"TARKIN";"Ali. Você vê Lord Vader, ela pode ser razoável. Continue com a operação. Você pode atirar quando estiver pronto."
"LEIA";"O quê?"
"TARKIN";"Você está confiando demais. Dantooine é muito distante para fazer uma demonstração eficaz. Mas não se preocupe. Nós vamos lidar com seus amigos rebeldes em breve."
"LEIA";"Não!"
"VADER";"Iniciar ignição primária."
"LUKE";"Você está bem? O que há de errado?"
"BEN";"Senti uma grande perturbação na Força... como se milhões de vozes de repente gritassem de terror e fossem silenciadas de repente. Temo que algo terrível tenha acontecido."
"BEN";"É melhor você continuar com seus exercícios."
"HAN";"Bem, você pode esquecer seus problemas com aquelas lesmas imperiais. Eu disse que ia superar eles."
"HAN";"Nem todos me agradecem de uma vez."
"HAN";"De qualquer forma, devemos estar em Alderaan cerca de oh-duzentas horas."
"THREEPIO";"Agora tenha cuidado, Artoo."
"THREEPIO";"Ele fez uma jogada justa. Gritar sobre isso não vai te ajudar."
"HAN";"Deixe-o ficar com ele. Não é sábio perturbar um Wookiee."
"THREEPIO";"Mas senhor, ninguém se preocupa em perturbar um droide."
"HAN";"Isso é porque dróides não tiram os braços das pessoas quando perdem. Wookiees são conhecidos por fazer isso."
"THREEPIO";"Entendo, senhor. Sugiro uma nova estratégia, Artoo. Deixe o Wookiee vencer."
"BEN";"Lembre-se, um Jedi pode sentir a Força fluindo através dele."
"LUKE";"Você quer dizer que controla suas ações?"
"BEN";"Parcialmente. Mas também obedece aos seus comandos."
"HAN";"Religiões hipócritas e armas antigas não são páreo para um bom blaster ao seu lado, garoto."
"LUKE";"Você não acredita na Força, acredita?"
"HAN";"Garoto, eu voei de um lado desta galáxia para o outro. Eu vi um monte de coisas estranhas, mas nunca vi nada que me fizesse acreditar que existe uma força todo-poderosa controlando tudo. Não há nenhum campo de energia mística que controle meu destino."
"HAN";"É tudo um monte de truques simples e sem sentido."
"BEN";"Eu sugiro que você tente novamente, Luke."
"BEN";"Desta vez, solte seu eu consciente e aja por instinto."
"LUKE";"Com o escudo anti-explosão abaixado, eu nem consigo ver. Como eu vou lutar?"
"BEN";"Seus olhos podem te enganar. Não confie neles."
"BEN";"Estique-se com seus sentimentos."
"BEN";"Você vê, você pode fazer isso."
"HAN";"Eu chamo isso de sorte."
"BEN";"Na minha experiência, sorte não existe."
"HAN";"Olha, ir bem contra controles remotos é uma coisa. Ir bem contra os vivos? Isso é outra coisa."
"HAN";"Parece que estamos chegando em Alderaan."
"LUKE";"Sabe, eu senti alguma coisa. Eu quase podia ver o controle remoto."
"BEN";"Isso é bom. Você deu seu primeiro passo para um mundo maior."
"TARKIN";"Sim."
"OFICIAL CASS";"Nossas naves de reconhecimento chegaram a Dantooine. Encontraram os restos de uma base rebelde, mas estimam que ela esteja deserta há algum tempo. Agora estão realizando uma extensa busca nos sistemas ao redor."
"TARKIN";"Ela mentiu! Ela mentiu para nós!"
"VADER";"Eu lhe disse que ela nunca trairia conscientemente a Rebelião."
"TARKIN";"Acabe com ela... imediatamente!"
"HAN";"Aguarde, Chewie, aqui vamos nós. Desligue os motores da subluz."
"HAN";"O que...? Ah, saímos do hiperespaço para uma chuva de meteoros. Algum tipo de colisão de asteróides. Não está em nenhum dos gráficos."
"LUKE";"O que está acontecendo?"
"HAN";"Nossa posição está correta, exceto... não, Alderaan!"
"LUKE";"O que você quer dizer? Onde está?"
"HAN";"Isso é o que estou tentando te dizer, garoto. Não está lá. Foi totalmente explodido."
"LUKE";"O quê? Como?"
"BEN";"Destruído... pelo Império!"
"HAN";"A Frota Estelar inteira não poderia destruir o planeta inteiro. Seriam necessárias mil naves com mais poder de fogo do que eu..."
"HAN";"Há outro navio chegando."
"LUKE";"Talvez eles saibam o que aconteceu."
"BEN";"É um caça Imperial."
"LUKE";"Ele nos seguiu!"
"BEN";"Não. É um caça de curto alcance."
"HAN";"Não há nenhuma base por aqui. De onde veio?"
"LUKE";"Com certeza está saindo com muita pressa. Se eles nos identificarem, estamos em apuros."
"HAN";"Não se eu puder evitar. Chewie... bloqueie suas transmissões."
"BEN";"Seria melhor deixá-lo ir. Está muito fora de alcance."
"HAN";"Não por muito tempo..."
"BEN";"Um caça desse tamanho não poderia ir tão fundo no espaço sozinho."
"LUKE";"Então ele deve ter se perdido, feito parte de um comboio ou algo assim..."
"HAN";"Bem, ele não vai ficar por aqui tempo suficiente para contar a ninguém sobre nós."
"LUKE";"Olhe para ele. Ele está indo para aquela pequena lua."
"HAN";"Acho que posso pegá-lo antes que ele chegue lá... ele está quase no alcance."
"BEN";"Isso não é lua! É uma estação espacial."
"HAN";"É grande demais para ser uma estação espacial."
"LUKE";"Tenho um mau pressentimento sobre isso."
"BEN";"Vire a nave!"
"HAN";"Sim, acho que você está certo. Reverso completo! Chewie, bloqueie a energia auxiliar."
"LUKE";"Por que ainda estamos nos movendo em direção a isso?"
"HAN";"Estamos presos em um raio trator! Ele está nos puxando!"
"LUKE";"Mas tem que haver algo que você possa fazer!"
"HAN";"Não há nada que eu possa fazer sobre isso, garoto. Estou no poder total. Vou ter que desligar. Mas eles não vão me pegar sem lutar!"
"BEN";"Você não pode vencer. Mas existem alternativas para lutar."
"VOZ OVER DEATH STAR INTERCOM";"Clear Bay vinte e três e sete. Estamos abrindo o campo magnético."
"OFICIAL";"Para suas estações!"
"OFICIAL";"Venha comigo."
"OFICIAL";"Feche todas as proteções externas! Feche todas as proteções externas!"
"TARKIN";"Sim."
"VOZ";"Capturamos um cargueiro entrando nas ruínas do sistema Alderaan. Suas marcas coincidem com as de um navio que saiu de Mos Eisley."
"VADER";"Eles devem estar tentando devolver os planos roubados para a princesa. Ela ainda pode ser de alguma utilidade para nós."
"VOZ";"Desbloqueie um-cinco-sete e nove. Liberte as cargas."
"OFICIAL";"Não há ninguém a bordo, senhor. De acordo com o diário, a tripulação abandonou o navio logo após a decolagem. Deve ser um chamariz, senhor. Várias cápsulas de fuga foram descartadas."
"VADER";"Encontrou algum droid?"
"OFICIAL";"Não, senhor. Se havia algum a bordo, eles também devem ter abandonado."
"VADER";"Envie uma equipe de varredura a bordo. Quero que todas as partes desta nave sejam verificadas."
"OFICIAL";"Sim, senhor."
"VADER";"Sinto algo... uma presença que não sinto desde..."
"OFICIAL";"Traga-me uma equipe de varredura aqui em dobro. Quero que todas as partes desta nave sejam verificadas!"
"LUKE";"Rapaz, que sorte você ter esses compartimentos."
"HAN";"Eu os uso para contrabando. Nunca pensei que estaria me contrabandeando neles. Isso é ridículo. Mesmo se eu pudesse decolar, nunca passaria do raio trator."
"BEN";"Deixe isso comigo!"
"HAN";"Maldito idiota. Eu sabia que você ia dizer isso!"
"BEN";"Quem é o mais tolo... o tolo ou o tolo que o segue?"
"TROOPER";"A nave é toda sua. Se os scanners detectarem alguma coisa, informe imediatamente. Tudo bem, vamos."
"HAN";"Ei, você poderia nos dar uma mão com isso?"
"GANTRY OFFICER";"TX-quatro-um-dois. Por que você não está no seu posto? TX-quatro-um-dois, você copia?"
"GANTRY OFFICER";"Assumir. Temos um transmissor ruim. Vou ver o que posso fazer."
"LUKE";"Sabe, entre o uivo dele e você explodindo tudo à vista, é de se admirar que a estação inteira não saiba que estamos aqui."
"HAN";"Tragam-nos! Prefiro uma luta direta a toda essa confusão."
"THREEPIO";"Encontramos a tomada do computador, senhor."
"BEN";"Conecte. Ele deve ser capaz de interpretar toda a rede de computadores Imperial."
"THREEPIO";"Ele diz que encontrou o controle principal do feixe de energia que está segurando a nave aqui. Ele vai tentar fazer a localização precisa aparecer no monitor."
"THREEPIO";"O raio trator é acoplado ao reator principal em sete locais. Uma perda de energia em um dos terminais permitirá que o navio saia."
"BEN";"Eu não acho que vocês meninos podem ajudar. Eu devo ir sozinho."
"HAN";"O que você disser. Já fiz mais do que esperava nesta viagem."
"LUKE";"Eu quero ir com você."
"BEN";"Seja paciente, Luke. Fique e cuide dos droides."
"LUKE";"Mas ele pode..."
"BEN";"Eles devem ser entregues com segurança ou outros sistemas estelares sofrerão o mesmo destino que Alderaan. Seu destino está em um caminho diferente do meu. A Força estará com você... sempre!"
"HAN";"Cara, você disse isso, Chewie."
"HAN";"Onde você desenterrou aquele velho fóssil?"
"LUKE";"Ben é um grande homem."
"HAN";"Sim, ótimo para nos colocar em apuros."
"LUKE";"Eu não ouvi você dar nenhuma ideia..."
"HAN";"Bem, qualquer coisa seria melhor do que ficar esperando eles nos buscarem..."
"LUKE";"Quem você acha..."
"LUKE";"O que é?"
"THREEPIO";"Acho que não tenho certeza, senhor. Ele diz \"
"LUKE";"Bem, quem... quem ele encontrou?"
"THREEPIO";"Princesa Leia."
"LUKE";"A princesa? Ela está aqui?"
"HAN";"Princesa?"
"LUKE";"Onde... onde ela está?"
"HAN";"Princesa? O que está acontecendo?"
"THREEPIO";"Nível cinco. Bloco de detenção AA-vinte e três. Receio que ela está programada para ser demitida."
"LUKE";"Ah, não! Temos que fazer alguma coisa."
"HAN";"Do que você está falando?"
"LUKE";"O droide pertence a ela. É ela quem está na mensagem. Temos que ajudá-la."
"HAN";"Agora, olhe, não tenha nenhuma idéia engraçada. O velho quer que esperemos bem aqui."
"LUKE";"Mas ele não sabia que ela estava aqui. Olha, você vai encontrar um caminho de volta para o bloco de detenção?"
"HAN";"Eu não vou a lugar nenhum."
"LUKE";"Eles vão executá-la. Olha, alguns minutos atrás você disse que não queria apenas esperar aqui para ser capturado. Agora tudo que você quer fazer é ficar."
"HAN";"Marchar para a área de detenção não é o que eu tinha em mente."
"LUKE";"Mas eles vão matá-la!"
"HAN";"Melhor ela do que eu..."
"LUKE";"Ela é rica."
"HAN";"Rico?"
"LUKE";"Sim. Rico, poderoso! Ouça, se você fosse resgatá-la, a recompensa seria..."
"HAN";"O quê?"
"LUKE";"Bem, mais riqueza do que você pode imaginar."
"HAN";"Não sei, posso imaginar bastante!"
"LUKE";"Você vai conseguir!"
"HAN";"É melhor eu!"
"LUKE";"Você vai..."
"HAN";"Tudo bem, garoto. Mas é melhor você estar certo sobre isso!"
"LUKE";"Tudo bem."
"HAN";"Qual é o seu plano?"
"LUKE";"Uh... Threepio, me dê esses fichários, sim?"
"LUKE";"Ok. Agora, vou colocar isso em você."
"LUKE";"Ok. Han, você coloca isso."
"HAN";"Não se preocupe, Chewie. Acho que sei o que ele tem em mente."
"THREEPIO";"Mestre Luke, senhor! Perdoe-me por perguntar... mas, ah... o que Artoo e eu devemos fazer se formos descobertos aqui?"
"LUKE";"Tranque a porta!"
"HAN";"E espero que eles não tenham blasters."
"THREEPIO";"Isso não é muito reconfortante."
"LUKE";"Não consigo ver nada neste capacete."
"HAN";"Isso não vai funcionar."
"LUKE";"Por que você não disse isso antes?"
"HAN";"Eu disse isso antes!"
"OFICIAL";"Onde você está levando essa... coisa?"
"LUKE";"Transferência de prisioneiro do Bloco um-um-três-oito."
"OFICIAL";"Não fui notificado. Vou ter que limpá-lo."
"HAN";"Cuidado! Ele está solto!"
"LUKE";"Ele vai nos separar."
"HAN";"Vá buscá-lo!"
"HAN";"Nós temos que descobrir em qual cela esta sua princesa está. Aqui está... cela vinte e um e oito e sete. Você vai buscá-la. Eu vou mantê-los aqui. "
"HAN";"Tudo está sob controle. Situação normal."
"VOZ INTERCOM";"O que aconteceu?"
"HAN";"Uh... teve um pequeno defeito nas armas. Mas, uh, tudo está perfeitamente bem agora. Estamos bem. Estamos todos bem aqui, agora, obrigado. Como você está?"
"VOZ DE INTERCOM";"Estamos enviando um esquadrão."
"HAN";"Uh, uh, negativo, negativo. Tivemos um vazamento no reator aqui agora. Dê-nos alguns minutos para bloqueá-lo. Vazamento grande... muito perigoso."
"VOZ DE INTERCOM";"Quem é? Qual é o seu número de operação?"
"HAN";"Conversa chata de qualquer maneira. Luke! Nós vamos ter companhia!"
"LEIA";"Você não é um pouco curto para um stormtrooper?"
"LUKE";"O quê? Oh... o uniforme. Eu sou Luke Skywalker. Estou aqui para resgatá-lo."
"LEIA";"Você é quem?"
"LUKE";"Estou aqui para resgatá-lo. Tenho sua unidade R2. Estou aqui com Ben Kenobi."
"LEIA";"Ben Kenobi está aqui! Onde ele está?"
"LUKE";"Vamos!"
"VADER";"Ele está aqui..."
"TARKIN";"Obi-Wan Kenobi! O que te faz pensar assim?"
"VADER";"Um tremor na Força. A última vez que senti foi na presença do meu antigo mestre."
"TARKIN";"Certamente ele deve estar morto agora."
"VADER";"Não subestime a Força."
"TARKIN";"Os Jedi estão extintos, seu fogo se apagou do universo. Você, meu amigo, é tudo o que resta da religião deles."
"TARKIN";"Sim."
"VOZ DE INTERCOM";"Governador Tarkin, temos um alerta de emergência no bloco de detenção AA-vinte e três."
"TARKIN";"A princesa! Coloque todas as seções em alerta!"
"VADER";"Obi-Wan está aqui. A Força está com ele."
"TARKIN";"Se você estiver certo, ele não pode escapar."
"VADER";"Escape pode não ser seu plano. Devo enfrentá-lo sozinho."
"HAN";"Chewie!"
"HAN";"Fique atrás de mim! Fique atrás de mim!"
"HAN";"Não pode sair dessa maneira."
"LEIA";"Parece que você conseguiu cortar nossa única rota de fuga."
"HAN";"Talvez você queira de volta em sua cela, Sua Alteza."
"LUKE";"Vê-Trêspio! Vê-Três!"
"TRÊS";"Sim senhor?"
"LUKE";"Fomos cortados! Existem outras maneiras de sair da cela?...O que foi isso? Eu não copiei!"
"THREEPIO";"Eu disse, todos os sistemas foram alertados sobre sua presença, senhor. A entrada principal parece ser a única saída; todas as outras informações em seu nível são restritas."
"VOZ DE SOLDADO";"Abra aí!"
"THREEPIO";"Ah, não!"
"LUKE";"Não há outra saída."
"HAN";"Eu não posso segurá-los para sempre! E agora?"
"LEIA";"Isso é um resgate. Quando você entrou aqui, você não tinha um plano para sair?"
"HAN";"Ele é o cérebro, querida."
"LUKE";"Bem, eu não..."
"HAN";"O que diabos você está fazendo?"
"LEIA";"Alguém tem que salvar nossas peles. Para o lixo, espertinho."
"HAN";"Entra aí seu grande idiota peludo! Eu não me importo com o que você cheira! Entre lá e não se preocupe com isso."
"HAN";"Menina maravilhosa! Ou eu vou matá-la ou estou começando a gostar dela. Entre lá!"
"HAN";"Ah! A calha de lixo foi uma ideia realmente maravilhosa. Que cheiro incrível você descobriu! Vamos sair daqui! Saia daí..."
"LUKE";"Não! espere!"
"LUKE";"Você vai esquecer? Eu já tentei. É selado magneticamente!"
"LEIA";"Guarde essa coisa! Você vai matar todos nós."
"HAN";"Absolutamente, Meritíssimo. Olha, eu tinha tudo sob controle até que você nos trouxe aqui. Você sabe, não vai demorar muito para eles descobrirem o que aconteceu conosco."
"LEIA";"Poderia ser pior..."
"HAN";"É pior."
"LUKE";"Tem algo vivo aqui!"
"HAN";"Isso é sua imaginação."
"LUKE";"Algo passa pela minha perna! Olha! Você viu isso?"
"HAN";"O quê?"
"LUKE";"Socorro!"
"HAN";"Luke! Luke! Luke!"
"LEIA";"Luke!"
"LEIA";"Luke, Luke, peguem isso."
"LUKE";"Droga, por favor! Minha arma está emperrada."
"HAN";"Onde?"
"LUKE";"Em qualquer lugar! Oh!!"
"HAN";"Luke! Luke!"
"LEIA";"Agarre-o!"
"LEIA";"O que aconteceu?"
"LUKE";"Não sei, ele simplesmente me soltou e desapareceu..."
"HAN";"Tenho um mau pressentimento sobre isso."
"LUKE";"As paredes estão se movendo!"
"LEIA";"Não fique aí parado. Tente segurá-lo com alguma coisa."
"LUKE";"Espere um minuto!"
"LUKE";"Threepio! Venha Threepio! Threepio! Onde ele poderia estar?"
"PRIMEIRO SOLDADO";"Assuma! Cuide dele! Olhe lá!"
"THREEPIO";"Eles são loucos! Eles estão indo para o nível da prisão. Se você se apressar, você pode pegá-los."
"PRIMEIRO OFICIAL";"Siga-me! Você monta guarda."
"THREEPIO";"Vamos!"
"THREEPIO";"Ah! Toda essa excitação invadiu os circuitos do meu colega aqui. Se você não se importa, eu gostaria de levá-lo para a manutenção."
"SOLDADO";"Tudo bem."
"LUKE";"Threepio! Entre, Threepio! Threepio!"
"HAN";"Chegue ao topo!"
"LEIA";"Não posso"
"LUKE";"Onde ele poderia estar? Threepio! Threepio, você pode entrar?"
"THREEPIO";"Eles não estão aqui! Alguma coisa deve ter acontecido com eles. Veja se eles foram capturados."
"THREEPIO";"Rápido!"
"HAN";"Uma coisa é certa. Todos nós vamos ficar muito mais magros! Fique em cima disso!"
"LEIA";"Estou tentando!"
"THREEPIO";"Graças a Deus, eles não os encontraram! Onde eles poderiam estar?"
"THREEPIO";"Usar o comlink? Oh, que coisa! Esqueci que desliguei!"
"THREEPIO";"Você está aí, senhor?"
"LUKE";"Trêspios!"
"THREEPIO";"Tivemos alguns problemas..."
"LUKE";"Feche todos os trituradores de lixo no nível de detenção, sim? Você copia?"
"LUKE";"Feche todos os trituradores de lixo no nível de detenção."
"LUKE";"Feche todos os trituradores de lixo no nível de detenção."
"THREEPIO";"Não. Desligue todos eles! Depressa!"
"THREEPIO";"Ouça eles! Eles estão morrendo, Artoo! Maldito seja meu corpo de metal! Eu não fui rápido o suficiente. É tudo culpa minha! Meu pobre mestre!"
"LUKE";"Threepio, estamos bem!"
"LUKE";"Estamos bem. Você foi muito bem."
"LUKE";"Ei... ei, abra a escotilha de manutenção de pressão na unidade número... onde estamos?"
"HAN";"Três-dois-seis-oito-dois-sete."
"HAN";"Se pudermos evitar mais conselhos femininos, devemos ser capazes de sair daqui."
"LUKE";"Bem, vamos nos mexer!"
"HAN";"Onde você vai?"
"LEIA";"Não, espere. Eles vão ouvir!"
"HAN";"Venha aqui, seu grande covarde!"
"HAN";"Chewie! Venha aqui!"
"LEIA";"Ouça. Eu não sei quem você é, ou de onde você veio, mas de agora em diante, você faz o que eu digo. Ok?"
"HAN";"Olha, Excelência, vamos esclarecer uma coisa! Eu recebo ordens de uma pessoa! Eu!"
"LEIA";"É uma maravilha que você ainda esteja vivo. Alguém vai tirar esse grande tapete ambulante do meu caminho?"
"HAN";"Nenhuma recompensa vale isso."
"OFICIAL";"Proteja esta área até que o alerta seja cancelado."
"PRIMEIRO SOLDADO";"Dê-me relatórios regulares."
"PRIMEIRO SOLDADO";"Você sabe o que está acontecendo?"
"SEGUNDO SOLDADO";"Talvez seja outro exercício."
"SEGUNDO SOLDADO";"O que foi isso?"
"PRIMEIRO SOLDADO";"Ah, não é nada. Não se preocupe com isso."
