"personagem";"diálogo"
"CRIATURA";"Eu não posso ensiná-lo. O menino não tem paciência."
"BEN";"Ele aprenderá a ter paciência."
"YODA";"Hmmm. Muita raiva nele, como seu pai."
"BEN";"Eu era diferente quando você me ensinou?"
"YODA";"Hah. Ele não está pronto."
"LUKE";"Yoda! Estou pronto. Eu... Ben! Eu posso ser um Jedi. Ben, diga a ele que estou pronto."
"YODA";"Pronto, você está? O que você sabe? Por oitocentos anos eu treinei Jedi. Meu próprio conselho eu vou manter sobre quem deve ser treinado! Um Jedi deve ter o mais profundo compromisso, o mais mente séria. Este há muito tempo eu assisti. Não se importava com onde ele estava. Hmm? O que ele estava fazendo. Hmph. Aventura. Heh! Excitação. Heh! Um Jedi não anseia por essas coisas. Você é imprudente!"
"BEN";"Eu também, se você se lembra."
"YODA";"Ele é muito velho. Sim, muito velho para começar o treinamento."
"LUKE";"Mas eu aprendi tanto."
"YODA";"Ele terminará o que começou?"
"LUKE";"Eu não vou falhar com você - eu não tenho medo."
"YODA";"Oh, você será. Você será."
"THREEPIO";"Senhor, se me permite uma opinião..."
"HAN";"Não estou realmente interessado em sua opinião, Threepio."
"LEIA";"Há algo lá fora."
"HAN";"Onde?"
"LEIA";"Lá fora, na caverna."
"THREEPIO";"Aí está. Ouça! Ouça!"
"HAN";"Eu vou lá fora."
"LEIA";"Você está louco?!"
"HAN";"Acabei de juntar este balde. Não vou deixar que algo o destrua."
"LEIA";"Então eu vou com você."
"THREEPIO";"Acho que seria melhor se eu ficasse aqui e guardasse o navio. Oh, não."
"LEIA";"Esse chão com certeza parece estranho. Não parece nada de pedra."
"HAN";"Tem muita umidade aqui."
"LEIA";"Não sei. Estou com um mau pressentimento sobre isso."
"HAN";"Sim."
"HAN";"Cuidado!"
"HAN";"Sim, foi o que eu pensei. Mynock. Chewie, verifique o resto da nave, certifique-se de que não há mais nenhum preso. Eles estão mastigando os cabos de energia."
"LEIA";"Mynocks?"
"HAN";"Vá para dentro. Nós vamos limpá-los se houver mais algum."
"THREEPIO";"Ohhh! Vá embora! Vá embora! Coisa besta. Shoo! Shoo!"
"HAN";"Espere um minuto..."
"HAN";"Tudo bem, Chewie, vamos sair daqui!"
"LEIA";"O Império ainda está lá fora. Eu não acho que seja sensato..."
"HAN";"Não há tempo para discutir isso como um comitê."
"LEIA";"Eu não sou um comitê!"
"LEIA";"Você não pode saltar para a velocidade da luz neste campo de asteróides..."
"HAN";"Sente-se, querida. Estamos decolando!"
"THREEPIO";"Olha!"
"HAN";"Eu vejo, eu vejo."
"THREEPIO";"Estamos condenados!"
"LEIA";"A caverna está desmoronando."
"HAN";"Isto não é uma caverna."
"LEIA";"O quê?"
"YODA";"Corra! Sim. A força de um Jedi flui da Força. Mas cuidado com o lado negro. Raiva... medo... agressão. O lado negro da Força são eles. Facilmente eles fluem, rápido para se juntar a você em uma luta. Se uma vez que você iniciar o caminho escuro, para sempre ele dominará seu destino, consumirá você, como fez com o aprendiz de Obi-Wan."
"LUKE";"Vader. O lado negro é mais forte?"
"YODA";"Não... não... não. Mais rápido, mais fácil, mais sedutor."
"LUKE";"Mas como vou distinguir o lado bom do ruim?"
"YODA";"Você saberá. Quando estiver calmo, em paz. Passivo. Um Jedi usa a Força para conhecimento e defesa, nunca para ataque."
"LUKE";"Mas me diga por que não posso..."
"YODA";"Não, não, não há por quê. Nada mais vou te ensinar hoje. Limpe sua mente de perguntas. Mmm. Mmmmmm."
"LUKE";"Tem alguma coisa errada aqui."
"LUKE";"Sinto frio, morte."
"YODA";"Aquele lugar... é forte com o lado negro da Força. É um domínio do mal. Em você deve ir."
"LUKE";"O que tem aí?"
"YODA";"Só o que você leva com você."
"YODA";"Suas armas... você não vai precisar delas."
"PIETT";"Caçadores de recompensas. Não precisamos dessa escória."
"PRIMEIRO CONTROLADOR";"Sim, senhor."
"PIETT";"Esses rebeldes não vão escapar de nós."
"SEGUNDO CONTROLADOR";"Senhor, temos um sinal prioritário do Star Destroyer Avenger."
"PIETT";"Certo."
"VADER";"... haverá uma recompensa substancial para quem encontrar a Millennium Falcon. Você é livre para usar quaisquer métodos necessários, mas eu os quero vivos. Sem desintegrações."
"BOBA FETT";"Como desejar."
"PIETT";"Lorde Vader! Meu senhor, nós os temos."
"THREEPIO";"Ah, graças a Deus estamos saindo do campo de asteróides."
"HAN";"Vamos sair daqui. Pronto para a velocidade da luz? Um...dois...três!"
"HAN";"Não é justo!"
"HAN";"Os circuitos de transferência estão funcionando. Não é minha culpa!"
"LEIA";"Sem velocidade da luz?"
"HAN";"Não é minha culpa."
"THREEPIO";"Senhor, acabamos de perder o escudo defletor traseiro principal. Mais um golpe direto no quarto traseiro e estamos acabados."
"HAN";"Vire-a."
"HAN";"Eu disse para virar ela! Vou colocar todo o poder no escudo frontal."
"LEIA";"Você vai atacá-los?!"
"THREEPIO";"Senhor, as chances de sobreviver a um ataque direto a um Destróier Estelar Imperial..."
"LEIA";"Cala a boca!"
"NEEDA";"Eles estão se movendo para a posição de ataque. Escudos para cima!"
"NEEDA";"Rastreie-os. Eles podem aparecer para outra passagem."
"OFICIAL DE RASTREAMENTO";"Capitão Needa, a nave não aparece mais em nossas miras."
"NEEDA";"Eles não podem ter desaparecido. Nenhuma nave tão pequena tem um dispositivo de camuflagem."
"OFICIAL DE RASTREAMENTO";"Bem, não há vestígios deles, senhor."
"OFICIAL DE COMUNICAÇÕES";"Capitão, Lord Vader exige uma atualização sobre a perseguição."
"NEEDA";"Prepare uma nave auxiliar. Assumirei total responsabilidade por perdê-la, e peço desculpas a Lorde Vader. Enquanto isso, continue vasculhando a área."
"OFICIAL DE COMUNICAÇÕES";"Sim, Capitão Needa."
"YODA";"Use a Força. Sim..."
"YODA";"Agora... a pedra. Sinta-a."
"YODA";"Concentre-se!"
"LUKE";"Ah, não. Nós nunca vamos lançá-lo agora."
"YODA";"Tão certo você está. Sempre com você não pode ser feito. Não ouviu nada do que eu disse?"
"LUKE";"Mestre, mover pedras é uma coisa. Isso é totalmente diferente."
"YODA";"Não! Não é diferente! Apenas diferente em sua mente. Você deve desaprender o que aprendeu."
"LUKE";"Tudo bem, vou tentar."
"YODA";"Não! Tente não. Faça. Ou não. Não há tentativa."
"LUKE";"Não posso. É muito grande."
"YODA";"Tamanho não importa. Olhe para mim. Me julgue pelo meu tamanho, não é? Hm? Mmmm."
"YODA";"E bem, você não deveria. Para meu aliado na Força. E um poderoso aliado é. A vida o cria, o faz crescer. Sua energia nos cerca e nos liga. Seres luminosos somos nós... ...não essa matéria bruta. Você deve sentir a Força ao seu redor. Aqui, entre você... eu... a árvore... a rocha... em todos os lugares! Sim, mesmo entre esta terra e aquele navio!"
"LUKE";"Você quer o impossível."
"LUKE";"Eu não... eu não acredito."
"YODA";"É por isso que você falha."
"VADER";"Desculpas aceitas, Capitão Needa."
"PIETT";"Lorde Vader, nossas naves completaram a varredura da área e não encontraram nada. Se a Millennium Falcon entrou na velocidade da luz, já estará do outro lado da galáxia."
"VADER";"Alertar todos os comandos. Calcular todos os destinos possíveis ao longo de sua última trajetória conhecida."
"PIETT";"Sim, meu senhor. Nós vamos encontrá-los."
"VADER";"Não me falhe de novo, Almirante."
"PIETT";"Alertar todos os comandos. Implantar a frota."
"THREEPIO";"Capitão Solo, desta vez você foi longe demais. Não, eu não vou ficar quieto, Chewbacca. Por que ninguém me ouve?"
"HAN";"A frota está começando a se desintegrar. Volte e aguarde a liberação manual da garra de desembarque."
"THREEPIO";"Eu realmente não vejo como isso vai ajudar. A rendição é uma alternativa perfeitamente aceitável em circunstâncias extremas. O Império pode ser gentil o suficiente..."
"HAN";"Obrigado."
"LEIA";"O que você tem em mente para o seu próximo movimento?"
"HAN";"Bem, se eles seguirem o procedimento padrão do Império, eles vão despejar o lixo antes de ir para a velocidade da luz, então nós simplesmente flutuamos para longe."
"LEIA";"Com o resto do lixo. E depois?"
"HAN";"Então temos que encontrar um porto seguro em algum lugar por aqui. Tem alguma idéia?"
"LEIA";"Não. Onde estamos?"
"HAN";"O sistema Anoat."
"LEIA";"Sistema Anoat. Não há muito lá."
"HAN";"Não. Bem, espere. Isso é interessante. Lando."
"LEIA";"Sistema Lando?"
"HAN";"Lando não é um sistema, ele é um homem. Lando Calrissian. Ele é um jogador de cartas, jogador, canalha. Você gostaria dele."
"LEIA";"Obrigado."
"HAN";"Bespin. É muito longe, mas acho que podemos fazer isso."
"LEIA";"Uma colônia de mineração?"
"HAN";"Sim, uma mina de gás de Tibanna. Lando enganou alguém. Nós voltamos um longo caminho, Lando e eu."
"LEIA";"Você pode confiar nele?"
"HAN";"Não. Mas ele não tem amor pelo Império, eu posso te dizer isso."
"HAN";"Aqui vamos nós, Chewie. Aguarde. Desapegue!"
"LEIA";"Você tem seus momentos. Não muitos, mas você os tem."
"YODA";"Concentre-se... sinta o fluxo da Força. Sim. Bom. Calma, sim. Através da Força, coisas que você verá. Outros lugares. O futuro... o passado. Velhos amigos se foram."
"LUKE";"Han! Leia!"
"YODA";"Hmm. Controle, controle. Você deve aprender a controlar."
"LUKE";"Eu vi... eu vi uma cidade nas nuvens."
"YODA";"Mmm. Amigos você tem aí."
"LUKE";"Eles estavam com dor."
"YODA";"É o futuro que você vê."
"LUKE";"Futuro? Eles vão morrer?"
"YODA";"Difícil de ver. Sempre em movimento está o futuro."
"LUKE";"Eu tenho que ir até eles."
"YODA";"Decida como você deve servi-los melhor. Se você sair agora, ajude-os que você poderia. Mas você destruiria tudo pelo que eles lutaram e sofreram."
"HAN";"Não, não tenho autorização de pouso. Estou tentando falar com Lando Calrissian."
"HAN";"Uau! Espere um minuto! Deixe-me explicar."
"VOZ DE INTERCOM";"Você não se desviará de seu curso atual."
"THREEPIO";"Bastante delicados, não são?"
"LEIA";"Achei que você conhecesse essa pessoa."
"HAN";"Bem, isso foi há muito tempo. Tenho certeza que ele se esqueceu disso."
"INTERCOM VOICE";"Permissão concedida para pousar na Plataforma Três-dois-sete."
"HAN";"Obrigado."
"HAN";"Não há nada para se preocupar. Nós voltamos, Lando e eu."
"LEIA";"Quem está preocupado?"
"THREEPIO";"Ah. Ninguém para nos encontrar."
"LEIA";"Eu não gosto disso."
"HAN";"Bem, o que você gostaria?"
"THREEPIO";"Bem, eles nos deixaram pousar."
"HAN";"Olha, não se preocupe. Tudo vai ficar bem. Confie em mim."
"HAN";"Viu? Meu amigo. Mantenha os olhos abertos, ok?"
"LANDO";"Ora, seu vigarista viscoso, traidor e inútil! Você tem muita coragem vindo aqui, depois do que você puxou."
"LANDO";"Como vai, seu velho pirata? Que bom te ver! Nunca pensei que fosse te encontrar de novo. Onde você esteve?"
"THREEPIO";"Bem, ele parece muito amigável."
"LEIA";"Sim... muito simpática."
"LANDO";"O que você está fazendo aqui?"
"HAN";"Ahh... reparos. Achei que você poderia me ajudar."
"LANDO";"O que você fez com minha nave?"
"HAN";"Sua nave? Ei, lembre-se, você a perdeu para mim de forma justa."
"LANDO";"Olá. O que temos aqui? Bem-vindo. Sou Lando Calrissian. Sou o administrador desta instalação. E quem você pode ser?"
"LEIA";"Leia."
"LANDO";"Bem-vinda, Leia."
"HAN";"Tudo bem, tudo bem, seu velho batido."
"THREEPIO";"Olá, senhor. Eu sou See-Threepio, relações humano-ciborgue. Minhas instalações são em sua..."
"THREEPIO";"Bem, sério!"
"LANDO";"O que há de errado com o Falcon?"
"HAN";"Hiperdrive."
"LANDO";"Vou fazer meu pessoal trabalhar nisso."
"HAN";"Bom."
"LANDO";"Sabe, aquela nave salvou minha vida algumas vezes. Ela é o pedaço de lixo mais rápido da galáxia."
"HAN";"Como está a mina de gás? Está valendo a pena para você?"
"LANDO";"Ah, não tão bem quanto eu gostaria. Somos um pequeno posto avançado e não muito autossuficiente. E já tive problemas de abastecimento de todos os tipos. Tive dificuldades trabalhistas.. . O que é tão engraçado?"
"HAN";"Você. Ouça você - você parece um homem de negócios, um líder responsável. Quem teria pensado isso, hein?"
"LANDO";"Sabe, ver você com certeza traz algumas coisas de volta."
"HAN";"Sim."
"LANDO";"Sim, eu sou responsável hoje em dia. É o preço que você paga pelo sucesso."
"THREEPIO";"Ah! É bom ver um rosto familiar."
"SEGUNDO TRÊS EPIOS";"E chu ta!"
"THREEPIO";"Que grosseria!"
"THREEPIO";"Isso soa como uma unidade R2 ali. Será que..."
"THREEPIO";"Olá? Que interessante. Oh, que coisa."
"MAN";"Quem é você?"
"THREEPIO";"Oh, eu sinto muito. Eu... eu não queria me intrometer. Não, não, por favor, não levante. Não!"
"YODA";"Luke! Você deve completar o treinamento."
"LUKE";"Eu não consigo tirar a visão da minha cabeça. Eles são meus amigos. Eu tenho que ajudá-los."
"YODA";"Você não deve ir!"
"LUKE";"Mas Han e Leia vão morrer se eu não morrer."
"BEN";"Você não sabe disso."
"BEN";"Mesmo Yoda não pode ver o destino deles."
"LUKE";"Mas eu posso ajudá-los! Eu sinto a Força!"
"BEN";"Mas você não pode controlá-lo. Este é um momento perigoso para você, quando você será tentado pelo lado negro da Força."
"YODA";"Sim, sim. Para Obi-Wan você ouve. A caverna. Lembre-se de seu fracasso na caverna!"
"LUKE";"Mas eu aprendi muito desde então. Mestre Yoda, eu prometo voltar e terminar o que comecei. Você tem minha palavra."
"BEN";"É você e suas habilidades que o Imperador quer. é por isso que seus amigos são feitos para sofrer."
"LUKE";"E é por isso que eu tenho que ir."
"BEN";"Luke, eu não quero perder você para o Imperador do jeito que perdi Vader."
"LUKE";"Você não vai."
"YODA";"Devem estar parados. Disso depende. Apenas um Cavaleiro Jedi totalmente treinado com a Força como seu aliado conquistará Vader e seu Imperador. Se você terminar seu treinamento agora, se escolher o caminho rápido e fácil , como Vader fez, você se tornará um agente do mal."
"BEN";"Paciência."
"LUKE";"E sacrificar Han e Leia?"
"YODA";"Se você honrar o que eles lutam... sim!"
"BEN";"Se você escolher enfrentar Vader, você fará isso sozinho. Eu não posso interferir."
"LUKE";"Entendo. Artoo, ligue os conversores."
"BEN";"Luke, não ceda ao ódio - isso leva ao lado negro."
"YODA";"Forte é Vader. Cuidado com o que você aprendeu. Salve você pode."
"LUKE";"Eu vou. E eu vou voltar. Eu prometo."
"YODA";"Eu te disse, eu disse. Ele é imprudente. Agora as coisas estão piores."
"BEN";"Esse menino é nossa última esperança."
"YODA";"Não. Há outro."
"HAN";"O navio está quase pronto. Mais duas ou três coisas e estamos em ótima forma."
"LEIA";"Quanto mais cedo melhor. Algo está errado aqui. Ninguém viu ou sabe nada sobre Threepio. Ele se foi há muito tempo para se perder."
"HAN";"Relaxe. Vou falar com Lando e ver o que consigo descobrir."
"LEIA";"Não confio em Lando."
"HAN";"Bem, eu também não confio nele. Mas ele é meu amigo. Além disso, logo iremos embora."
"LEIA";"E então você se foi, não é?"
"LEIA";"O que aconteceu?"
"HAN";"Onde? Encontrou-o em uma pilha de lixo?"
"LEIA";"Ah, que bagunça. Chewie, você acha que pode consertá-lo?"
"HAN";"Lando tem pessoas que podem consertá-lo."
"LEIA";"Não, obrigado."
"LANDO";"Desculpe. Estou interrompendo alguma coisa?"
"LEIA";"Na verdade não."
"LANDO";"Você está absolutamente linda. Você realmente pertence aqui conosco entre as nuvens."
"LEIA";"Obrigado."
"LANDO";"Você pode se juntar a mim para um refresco?"
"LANDO";"Todos estão convidados, é claro."
"LANDO";"Tendo problemas com seu droide?"
"HAN";"Não. Sem problemas. Por quê?"
"LANDO";"Então você vê, já que somos uma pequena operação, não caímos na... uh... jurisdição do Império."
"LEIA";"Então você faz parte da guilda de mineração?"
"LANDO";"Não, na verdade não. Nossa operação é pequena o suficiente para não ser notada... o que é vantajoso para todos, pois nossos clientes estão ansiosos para evitar chamar atenção para si mesmos."
"HAN";"Você não tem medo de que o Império descubra sobre essa pequena operação e o feche?"
"LANDO";"Isso sempre foi um perigo pairando como uma sombra sobre tudo o que construímos aqui. Mas as coisas se desenvolveram para garantir a segurança. Acabei de fazer um acordo que manterá o Império fora daqui para sempre. "
"VADER";"Ficaríamos honrados se você se juntasse a nós."
"LANDO";"Eu não tive escolha. Eles chegaram bem antes de você. Sinto muito."
"HAN";"Sinto muito também."
"LUKE";"Não, Threepio está com eles."
"LUKE";"Espere aí. Estamos quase lá."
"THREEPIO";"Mmmm. Oh, que coisa. Uh, eu, uh -- Tire isso! Eu, uh, não quero me intrometer aqui. Eu, não, não, não, não... Por favor, não se levante. Não!"
"THREEPIO";"Stormtroopers? Aqui? Estamos em perigo. Devo contar aos outros. Oh, não! Fui baleado!"
"LANDO";"Lord Vader."
"VADER";"Você pode levar o Capitão Solo para Jabba the Hut depois que eu tiver Skywalker."
"BOBA FETT";"Ele não é bom para mim morto."
"VADER";"Ele não sofrerá danos permanentes."
"LANDO";"Lorde Vader, e Leia e o Wookiee?"
"VADER";"Eles nunca mais devem deixar esta cidade."
"LANDO";"Isso nunca foi uma condição do nosso acordo, nem dar Han a esse caçador de recompensas!"
"VADER";"Talvez você pense que está sendo tratado injustamente."
"LANDO";"Não."
"VADER";"Bom. Seria lamentável se eu tivesse que deixar uma guarnição aqui."
"LANDO";"Esse negócio está ficando cada vez pior."
"THREEPIO";"Oh, sim, isso é muito bom. Eu gosto disso. Oh! Algo não está certo porque agora eu não posso ver. Espere. Espere! Oh, meu! o que você fez? Estou para trás, sua bola de pêlos estúpida. Só um cabeça-dura como você já seria estúpido o suficiente..."
"HAN";"Eu me sinto terrível."
"LEIA";"Por que eles estão fazendo isso?"
"HAN";"Eles nunca me fizeram nenhuma pergunta."
"LEIA";"Lando."
"HAN";"Saia daqui, Lando!"
"LANDO";"Cale a boca e escute! Vader concordou em entregar Leia e Chewie para mim."
"HAN";"Para você?"
"LANDO";"Eles terão que ficar aqui, mas pelo menos estarão seguros."
"LEIA";"E o Han?"
"LANDO";"Vader está dando ele para o caçador de recompensas."
"LEIA";"Vader quer todos nós mortos."
"LANDO";"Ele não quer você de jeito nenhum. Ele está atrás de alguém chamado Skywalker."
"HAN";"Luke?"
"LANDO";"Lord Vader preparou uma armadilha para ele."
"LEIA";"E nós somos a isca."
"LANDO";"Bem, ele está a caminho."
"HAN";"Perfeito. Você consertou todos nós muito bem, não foi? Meu amigo!"
"LANDO";"Pare! Já fiz tudo o que posso fazer. Lamento não ter feito melhor, mas tenho meus próprios problemas."
"HAN";"Sim, você é um verdadeiro herói."
"LEIA";"Você certamente tem jeito com as pessoas."
"VADER";"Esta instalação é rudimentar, mas deve ser adequada para congelar Skywalker em sua jornada até o Imperador."
"SOLDADO IMPERIAL";"Lord Vader, nave se aproximando. Classe X-wing."
"VADER";"Bom. Monitore Skywalker e permita que ele pouse."
"LANDO";"Lorde Vader, nós só usamos esta instalação para congelamento de carbono. Se você colocá-lo lá, pode matá-lo."
"VADER";"Não quero que o prêmio do Imperador seja danificado. Vamos testá-lo... no Capitão Solo."
"THREEPIO";"Se você tivesse anexado minhas pernas, eu não estaria nesta posição ridícula. Agora, lembre-se, Chewbacca, você tem uma responsabilidade comigo, então não faça nada tolo."
"HAN";"O que está acontecendo... amigo?"
"LANDO";"Você está sendo colocado em congelamento de carbono."
"BOBA FETT";"E se ele não sobreviver? Ele vale muito para mim."
"VADER";"O Império o compensará se ele morrer. Coloque-o aqui!"
"THREEPIO";"Oh, não! Não, não, não! Pare, Chewbacca, pare...!"
"HAN";"Pare, Chewie, pare! Está me ouvindo? Pare!"
"THREEPIO";"Sim, pare, por favor! Não estou pronto para morrer."
"HAN";"Chewie! Chewie, isso não vai me ajudar. Ei!"
"HAN";"Guarde suas forças. Haverá outra hora. A princesa - você tem que cuidar dela. Você me ouviu?"
"LEIA";"Eu te amo!"
"HAN";"Eu sei."
"THREEPIO";"O que... o que está acontecendo? Vire-se, Chewbacca, não consigo ver. Oh... eles o envolveram em carbonita. Ele deve estar bem protegido - se sobreviver o processo de congelamento, isto é."
"VADER";"Bem, Calrissian, ele sobreviveu?"
"LANDO";"Sim, ele está vivo. E em perfeita hibernação."
"VADER";"Ele é todo seu caçador de recompensas. Reinicialize a câmara para Skywalker."
"OFICIAL IMPERIAL";"Skywalker acaba de desembarcar, meu senhor."
"VADER";"Bom. Faça com que ele encontre o caminho até aqui. Calrissian, leve a princesa e o Wookiee para minha nave."
"LANDO";"Você disse que eles seriam deixados na cidade sob minha supervisão."
"VADER";"Estou alterando o acordo. Por favor, não altere mais."
"LEIA";"Luke! Luke, não -- é uma armadilha! É uma armadilha!"
"VADER";"A Força está com você, jovem Skywalker. Mas você ainda não é um Jedi."
"LANDO";"Muito bem. Segure-os na torre de segurança - e fique quieto. Mova-se."
"LEIA";"O que você pensa que está fazendo?"
"LANDO";"Vamos sair daqui."
"THREEPIO";"Eu sabia o tempo todo que tinha que ser um erro."
"LEIA";"Você acha que depois do que fez com Han vamos confiar em você?"
"LANDO";"Não tive escolha..."
"THREEPIO";"O que você está fazendo? Confie nele, confie nele!"
"LEIA";"Ah, então entendemos, não é, Chewie? Ele não teve escolha."
"LANDO";"Só estou tentando ajudar..."
"LEIA";"Não precisamos da sua ajuda."
"LANDO";"Haaa..."
"LEIA";"O quê?"
"THREEPIO";"Parece Han."
"LANDO";"Ainda há uma chance de salvar Han... quero dizer, na Plataforma Leste..."
"LEIA";"Chewie."
"THREEPIO";"Sinto muito por tudo isso. Afinal, ele é apenas um Wookiee."
"BOBA FETT";"Coloque o Capitão Solo no porão de carga."
"THREEPIO";"Artoo! Artoo! Onde você esteve?"
"THREEPIO";"Vire-se, seu peludo...! Depressa, depressa! Estamos tentando salvar Han do caçador de recompensas!"
"THREEPIO";"Bem, pelo menos você ainda está inteiro! Veja o que aconteceu comigo!"
"THREEPIO";"Ah, não! Chewie, eles estão atrás de você!"
"VADER";"Você aprendeu muito, jovem."
"LUKE";"Você vai descobrir que estou cheio de surpresas."
"VADER";"Seu destino está comigo, Skywalker. Obi-Wan sabia que isso era verdade."
"LUKE";"Não!"
"VADER";"Muito fácil. Talvez você não seja tão forte quanto o Imperador pensava."
"VADER";"Impressionante... mais impressionante."
"VADER";"Obi-Wan te ensinou bem. Você controlou seu medo... agora libere sua raiva."
"VADER";"Só seu ódio pode me destruir."
"LANDO";"Os códigos de segurança foram alterados!"
"THREEPIO";"Artoo, você pode dizer ao computador para substituir o sistema de segurança."
"LANDO";"Atenção! Aqui é Lando Calrissian. O Império assumiu o controle da cidade. Aconselho a todos a irem embora antes que mais tropas imperiais cheguem."
"LANDO";"Por aqui."
"THREEPIO";"Não me culpe. Sou um intérprete. Não deveria saber distinguir uma tomada de um terminal de computador."
"THREEPIO";"Do que você está falando? Não estamos interessados no hiperdrive da Millennium Falcon. Está consertado! Apenas abra a porta, seu idiota."
"THREEPIO";"Eu nunca duvidei de você por um segundo. Maravilhoso!"
"THREEPIO";"Ai! Oh! Ah! Isso doeu, Abaixe-se, seu impensado... Ai!"
"LANDO";"Leia! Vá!"
"THREEPIO";"Eu pensei que aquela besta peluda seria o meu fim. Claro, eu pareço melhor."
"VADER";"Você está derrotado. É inútil resistir. Não se deixe destruir como Obi-Wan fez."
"VADER";"Não há escapatória. Não me faça destruir você. Você ainda não percebeu sua importância. Você apenas começou a descobrir seu poder. Junte-se a mim e eu completarei seu treinamento. Com nossa força combinada , podemos acabar com esse conflito destrutivo e trazer ordem para a galáxia."
"LUKE";"Eu nunca vou me juntar a você!"
"VADER";"Se você conhecesse o poder do lado negro. Obi-Wan nunca lhe contou o que aconteceu com seu pai."
"LUKE";"Ele me disse o suficiente! Ele me disse que você o matou."
"VADER";"Não. Eu sou seu pai."
"LUKE";"Não. Não. Isso não é verdade! Isso é impossível!"
"VADER";"Procure seus sentimentos. Você sabe que é verdade."
"LUKE";"Não! Não! Não!"
"VADER";"Luke. Você pode destruir o Imperador. Ele previu isso. É o seu destino. Junte-se a mim, e podemos governar a galáxia como pai e filho. Venha comigo. É o único caminho."
"LUKE";"Ben... Ben, por favor!"
"LUKE";"Ben. Leia!"
"LUKE";"Ouça-me! Leia!"
"LEIA";"Luke... Temos que voltar."
"LANDO";"O quê?"
"LEIA";"Eu sei onde Luke está."
"LANDO";"Mas e aqueles caças?"
"LEIA";"Chewie, apenas faça."
"LANDO";"Mas e o Vader?"
"LANDO";"Tudo bem, tudo bem, tudo bem."
"VADER";"Traga meu ônibus espacial."
"LANDO";"Olha, tem alguém lá em cima."
"LEIA";"É Luke. Chewie, desacelere. Desacelere e vamos passar por baixo dele. Lando, abra a escotilha superior."
"LEIA";"Ok. Calma, Chewie."
"LEIA";"Lando?"
"LANDO";"Ok, vamos."
"LUKE";"Ah, Leia."
"LANDO";"Tudo bem, Chewie. Vamos."
"LEIA";"Já volto."
"LEIA";"Destruidor Estelar."
"LANDO";"Tudo bem, Chewie. Pronto para a velocidade da luz."
"LEIA";"Se seu pessoal consertou o hiperdrive."
"LEIA";"Todas as coordenadas estão definidas. É agora ou nunca."
"LANDO";"Soque!"
"LANDO";"Eles me disseram que consertaram. Eu confiei neles para consertar. Não é minha culpa!"
"PIETT";"Eles estarão ao alcance de nosso raio trator em instantes, senhor."
"VADER";"Seus homens desativaram o hyperdrive na Millennium Falcon?"
"PIETT";"Sim, meu senhor."
"VADER";"Bom. Prepare o grupo de embarque e prepare suas armas para atordoar."
"PIETT";"Sim, meu senhor."
"THREEPIO";"Bruta barulhenta. Por que não entramos na velocidade da luz?"
"THREEPIO";"Não podemos? Como você sabe que o hiperdrive está desativado?"
"THREEPIO";"O computador central da cidade te disse? Artoo-Detoo, você sabe que não deve confiar em um computador estranho. Ai! Preste atenção no que você está fazendo!"
"VADER";"Luke."
"LUKE";"Pai."
"VADER";"Filho, venha comigo."
"LUKE";"Ben, por que você não me contou?"
"LANDO";"Chewie!"
"LUKE";"É Vader."
"VADER";"Luke... é o seu destino."
"LUKE";"Ben, por que você não me contou?"
"PIETT";"Alertar todos os comandos. Pronto para o raio trator."
"THREEPIO";"Artoo, volte já! Você não terminou comigo ainda! Você não sabe como consertar o hiperdrive. Chewbacca pode fazer isso. Eu estou aqui em pedaços, e você"
"THREEPIO";"Ah, você conseguiu!"
"LANDO";"Luke, estamos prontos para decolar."
"LUKE";"Boa sorte, Lando"
"LANDO";"Quando encontrarmos Jabba the Hut e aquele caçador de recompensas, entraremos em contato com você."
"LUKE";"Te encontro no ponto de encontro em Tatooine."
"LANDO";"Princesa, vamos encontrar Han. Eu prometo."
"LUKE";"Chewie, estarei esperando seu sinal."
"LUKE";"Tomem cuidado, vocês dois. Que a Força esteja com vocês."
"LUKE";"Ai!"
